feature,importance
IncGeo_WardName_encoded,0.11103161912909405
FirstPumpArriving_DeployedFromStation_encoded,0.09563101658483011
DayOfYear,0.08551360205997265
HourOfCall,0.08050496065658082
IncidentStationGround_encoded,0.07561319472057951
Distance_from_center,0.07350544818366478
PropertyType_encoded,0.07131306119633692
IncGeo_BoroughName_encoded,0.0594914405109406
DayOfWeek,0.045741509661472265
Longitude,0.042369215270896064
Northing_m,0.04192943728245712
Easting_m,0.04152080328140561
Latitude,0.040794690017231
WeekOfYear,0.02856252101804326
IncidentGroup_encoded,0.02127891585239456
PropertyCategory_encoded,0.01771111468040114
PumpCount,0.012585300579090844
NumPumpsAttending,0.011746290521806266
IsRushHour,0.011413585824410497
NumStationsWithPumpsAttending,0.010047611726183991
Month,0.008293761194203995
IsWeekend,0.006854067788630441
IsNight,0.005699819673163277
Quarter,0.0008470125862102475
IsPeakSeason,0.0
