IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpMinutesRounded,Notional Cost (£),NumCalls,Year,Month,DayOfWeek,DayOfYear,Quarter,WeekOfYear,IsWeekend,IsNight,IsRushHour,IsPeakSeason,Distance_from_center,HasSecondPump,IncidentGroup_encoded,PropertyCategory_encoded,PropertyType_encoded,IncGeo_BoroughName_encoded,IncGeo_WardName_encoded,IncidentStationGround_encoded,FirstPumpArriving_DeployedFromStation_encoded,SpecialServiceType_encoded,Postcode_district_encoded
000008-01012018,2018-01-01,2018.0,00:04:25,0.0,False Alarm,AFA,Standard,Non Residential,Mosque ,Within same building,N2 8AY,N2,200220110.0,20013420.0,E09000003,BARNET,Barnet,E05013636,East Finchley,East Finchley,527184.0,189488.0,527150.0,189450.0,51.58990022,-0.165452578,London,Finchley,348.0,Finchley,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,9671.297974188023,0,0,3,93,1,185,29,29,18,114
000009-01012018,2018-01-01,2018.0,00:04:30,0.0,False Alarm,AFA,Standard,Non Residential,Pub/wine bar/bar ,Correct incident location,BR3 1ED,BR3,100023000000.0,20301747.0,E09000006,BROMLEY,Bromley,E05013987,Beckenham Town & Copers Cope,Beckenham Town & Copers Cope,537430.0,169565.0,537450.0,169550.0,51.40846304,-0.025394053,London,Beckenham,144.0,Beckenham,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,12841.123065398528,0,0,3,145,4,37,5,5,18,2
000010-01012018,2018-01-01,2018.0,00:04:34,0.0,Fire,Secondary Fire,Standard,Outdoor Structure,Common external bin storage area,On land associated with building,N13 5SX,N13,207086892.0,20704500.0,E09000010,ENFIELD,Enfield,E05013683,Highfield,Highfield,531901.0,193161.0,531950.0,193150.0,51.62182337,-0.096021582,London,Edmonton,232.0,Southgate,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,12785.374067556048,0,1,6,30,9,307,23,81,18,106
000011-01012018,2018-01-01,2018.0,00:04:58,0.0,Special Service,Special Service,RTC,Road Vehicle,Multiple Vehicles ,In street outside gazetteer location,EN1 4LD,EN1,207153957.0,20702569.0,E09000010,ENFIELD,Enfield,E05013677,Carterhatch,Carterhatch,534799.0,197474.0,534750.0,197450.0,51.65989441,-0.052523515,London,Enfield,22.0,Enfield,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,17541.41690051107,0,2,8,97,9,114,25,25,13,67
000014-01012018,2018-01-01,2018.0,00:07:47,0.0,Fire,Primary Fire,Standard,Road Vehicle,Car ,In street outside gazetteer location,E15 1QY,E15,10023996788.0,22200068.0,E09000025,NEWHAM,Newham,E05013917,Maryland,Maryland,539451.0,185362.0,539450.0,185350.0,51.54992406,0.009877103,London,Stratford,241.0,Stratford,,None,1.0,1.0,1.0,60.0,328.0,6.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,10123.242641504055,0,1,8,21,24,386,84,84,18,30
000025-01012018,2018-01-01,2018.0,00:13:23,0.0,False Alarm,False alarm - Good intent,Standard,Outdoor,Road surface/pavement ,In street outside gazetteer location,E1W 2RW,E1W,6647815.0,22700978.0,E09000030,TOWER HAMLETS,Tower Hamlets,E05009330,St. Katharine's & Wapping,St. Katharine's & Wapping,534907.0,180227.0,534950.0,180250.0,51.50488294,-0.057583856,London,Shadwell,250.0,Shadwell,,None,1.0,1.0,1.0,60.0,328.0,2.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,4308.354572740798,0,0,5,162,29,561,76,76,18,34
000026-01012018,2018-01-01,2018.0,00:13:57,0.0,Special Service,Special Service,Other rescue/release of persons,Dwelling,House - single occupancy ,Correct incident location,Unknown,SE9,0.0,20800546.0,E09000011,GREENWICH,Greenwich,E05014077,Eltham Page,Eltham Page,,,542550.0,174750.0,,,London,Eltham,196.0,Eltham,309.0,Lee Green,2.0,2.0,2.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,,1,2,2,67,10,199,24,24,12,176
000027-01012018,2018-01-01,2018.0,00:15:21,0.0,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,Unknown,IG1,0.0,22302963.0,E09000026,REDBRIDGE,Redbridge,E05011247,Loxford,Loxford,,,543750.0,186050.0,,,London,Ilford,443.0,Barking,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,,0,2,2,149,25,380,46,2,3,84
000032-01012018,2018-01-01,2018.0,00:16:25,0.0,False Alarm,False alarm - Good intent,Standard,Outdoor,Road surface/pavement ,In street outside gazetteer location,SW3 4LW,SW3,217122790.0,21700196.0,E09000020,KENSINGTON AND CHELSEA,Kensington And chelsea,E05009403,ROYAL HOSPITAL,ROYAL HOSPITAL,528178.0,177818.0,528150.0,177850.0,51.48479831,-0.155357945,London,Chelsea,323.0,Chelsea,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,3573.321852505396,0,0,5,162,19,483,11,11,18,204
000033-01012018,2018-01-01,2018.0,00:17:10,0.0,False Alarm,False alarm - Good intent,Standard,Outdoor,Park ,Open land/water - nearest gazetteer location,SW19 1ES,SW19,48081971.0,22103210.0,E09000024,MERTON,Merton,E05013810,Abbey,Abbey,525984.0,170494.0,525950.0,170450.0,51.41946818,-0.189544095,London,Wimbledon,250.0,Wimbledon,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,0.0,1.0,1.0,1,0,1,0,0,10968.078420276543,0,0,5,129,23,3,99,100,18,193
